# R-177 - triaged 0.9 tier: 65 shelves (Monkeybrain, Oni, Panel Syndicate, Papercutz, Scout, Source Point, Titan, Valiant,
# Vault, SLG) last read in A-029..A-031, B-065..B-069, C-060..C-062, D-017, R-013..R-047. Most identities stand; the re-read
# under the later rulings changed these:
# - Valiant "_Chronological Valiant" folders hold the 1990s runs, read-order prefixed ("027. Harbinger 00", "149. Rai 00"
#   between #8 and #9): S8317 Harbinger and S14355 Rai were stored as the 2012 / 2014 relaunches, but their ladders 0-41 / 0-33
#   are exactly the 42-issue 1992 Harbinger (CV 4827) and the 34-issue 1992 Rai (CV 4828) - the cheapest mis-link test. Both
#   shelves also hold whole trades of the relaunches -> R + split-needed.
# - Bloodshot 1993 and Ninjak 1994 each hold six-ten issues of the 1997 relaunch whose shelf exists (S64339, S65365) -> joins.
# - Armorines, Solar and Lenore hold co-equal second runs with no shelf -> R + split-needed.
# - One-run omnibus / line gives way to the run: X-O Manowar Classic Omnibus -> merge-with S66390 (CV 4831).
# - Line spanning two runs keeps its own identity: Long Lost's two books (GCD 143368 notes: season 1 #1-6, "Part Two" #1-6).
# - Stored ids that were a TPB line, not the run: Good Boy v3 (CV 142228 = the three TPBs; the run is Prodigal Son 149249),
#   Barbaric cover gallery (148007 = the TPB line), Conan Battle of the Black Stone (GCD 208813 = the Conan TPB line).
# - GCD rows the packet did not surface: Action Journalism with Kate Kelly 230823, X-O Manowar 2012 65343 (was provider-missing).

S 95059 cv=23553 gcd=19825 0.95 | American Splendor (DC/Vertigo 2006-2007, 4): CV 23553 (2006, 4 cached) and GCD 19825 (2006-2007, 4) agree on publisher, year and count; our 12 files are three complete rips of #1-4 (Shadowcat-Empire 104811-104814, the DCP set 104815-104818, digital-Empire 112274-112277, 33-34pp, 2006-2007) - duplicate rips cost nothing
F 95059 wrong-cv-link | the per-file CV 28361 (the 1976 Harvey Pekar ongoing) rides on 5 of the 12 files, the #3-4 rips joined from S956 by P-076 (L-366); every file is a 2006-2007 DC issue

# ---- Aspen ----
S 15932 cv=112350 gcd=- 0.9 | Soulfire (Aspen 2018, 8): CV 112350 (Aspen MLT 2018, 8, cached #5 "Raw Power" 2018-11 and #8 2019-02) is the 2018 relaunch, and our "Soulfire v7 001-003 (2018)" 29-33pp are its #1-3 (per-file on 3/3); one leg, so 0.9 - 39339 (2011, 9) and 119872 (2019, 6) are the neighbouring volumes
F 15932 provider-missing | GCD's only Soulfire rows are Delcourt's French 68192 and Infinity Verlag's German 105336; it indexes no English Aspen Soulfire
N 15932 flag #418 label-ambiguous (item 108433): answered - Soulfire v7 001-003 are 29-33pp single issues, not collections (L-367)

# ---- Monkeybrain ----
S 927 cv=71827 gcd=- 0.9 | Amelia Cole and the Enemy Unleashed (MonkeyBrain 2014, 6): CV 71827 caches #13-18 dated 2014-02 ... 2014-09 - CV numbers the digital serial continuously while our ripper restarts at 001-006 (2014, 16-22pp); title, publisher, year and count agree, one leg only
F 927 wrong-cv-link | the per-file CV 78056 "Amelia Cole and the Enemy Unleashed" (IDW 2014, 1 issue) is IDW's print collection of this arc, stamped on all six digital chapters
F 927 provider-missing | GCD holds only IDW's collected editions (124446 for this arc, 1 row); it indexes no MonkeyBrain chapter
S 929 cv=87198 gcd=- 0.9 | Amelia Cole Versus The End of Everything (MonkeyBrain 2016, 6): CV 87198 caches #25-30 "Part 1" ... "Part 6" (2016-01 ... 2016-06), which are our six "001-006 (2016)" 18-23pp chapters by order and date; one leg only
