# X-020 — item batch, 44 shelves already decided. Recurring shape: on manga shelves with a clean per-volume
# GCD issue pool in the header, the per-file GCD picker falls back to a st3 title-only match and STAMPS ONE
# volume's id (almost always #1's) across every book on the shelf (A Bride's Story 12/12, A Galaxy Next Door
# 6/6, A Witch's Printing Office 6/6, The Collected Toppi 4/6, APOSIMZ, Powers 5/5) — corrected throughout by
# matching the header's own numbered gcd issues pool by ordinal position. Several per-file CV picks land on a
# foreign-language twin volume of the SAME title (A Silent Voice: Milky Way Ediciones/Spanish and Egmont
# Ehapa/German on 3 of 7 files; APOSIMZ: Éditions Glénat/French on all 9; After Hours: Shogakukan/Japanese
# original on all 3) — rejected in favor of the shelf's own English-language volume. lookup.py surfaced real
# trade/collected records the packet's pool did not show for: Outpost Zero Complete Collection, Port of Earth
# Deluxe Edition, Prism Stalker: The Weeping Star, Shirtless Bear-Fighter 2, Stray Dogs: Dog Days, The Good
# Asian 1936 Deluxe Edition, Li'l Depressed Boy vol.05, Tokyo Ghost Complete Edition, Powers: The Best Ever
# (a different edition than the library line, possibly misfiled).

I 36148 cv=726029 gcd=2035122 isbn=978-1534313545 0.95 | Vol.01 (of 04), already correctly picked, isbn asserted on the gcd row
I 36149 cv=763844 gcd=2789817 0.95 | Vol.02 "The Gun in the Puddle", already correctly picked by the packet
I 36150 cv=812585 gcd=2789818 0.95 | Vol.03 (of 04), already correctly picked by the packet
I 36151 cv=829332 gcd=2789819 0.95 | Vol.04 (of 04), already correctly picked by the packet

I 35770 cv=516981 gcd=- 0.9 | Vol.01, already correctly picked; GCD holds no record for this webcomic (provider-missing, per the shelf's own gcd=- identity)
I 35771 cv=522444 gcd=- 0.9 | Vol.02, already correctly picked; provider-missing, same as v01
I 35772 cv=527177 gcd=- 0.9 | Vol.03, already correctly picked; provider-missing, same as v01
I 35773 cv=531921 gcd=- 0.9 | Vol.04, already correctly picked; provider-missing, same as v01
I 35774 cv=605092 gcd=- 0.9 | Vol.05, already correctly picked; provider-missing, same as v01

N 35989 no-record | own trade record not found in the packet's pool but found via lookup.py: GCD 199376 "Outpost Zero: The Complete Collection" (2023, count 1); ComicVine holds no matching record (probed exact title, 0 hits); the shelf's own N called this absent from both legs

I 36158 cv=582570 gcd=1822937 isbn=978-1-5343-0140-5 0.95 | Vol.01 "One Weirdest Weekend", already correctly picked
I 36159 cv=594149 gcd=1822938 isbn=978-1-5343-0156-6 0.95 | Vol.02 "Too Super For School", already correctly picked

I 34540 cv=204619 gcd=393928 isbn=978-1-58240-824-8 0.95 | vol.01, already correctly picked, isbn asserted on the gcd row
I 34541 cv=204620 gcd=739652 isbn=978-1-58240-920-7 0.95 | vol.02, already correctly picked, isbn asserted on the gcd row
I 34542 cv=204621 gcd=739653 isbn=978-1-58240-974-0 0.95 | vol.03, already correctly picked, isbn asserted on the gcd row
I 34543 cv=204622 gcd=739654 isbn=978-1-60706-188-5 0.95 | vol.04, already correctly picked, isbn asserted on the gcd row

I 33987 cv=- gcd=s213776 0.9 | own record: GCD 213776 "Port of Earth Deluxe Edition" (2024, count 1) — found via lookup.py, not in the packet's pool (shelf's N called it absent); ComicVine holds no matching record

I 35760 cv=- gcd=s202803 0.9 | own record: GCD 202803 "Prism Stalker: The Weeping Star" (2023, count 1, Dark Horse) — found via lookup.py, not in the packet's pool; ComicVine holds no matching record for this Dark Horse book

