# X-024 — Black Clover, Black Lagoon, Blade of the Immortal (collected-line shelf, C OWED on every book),
# BLAME! Master Edition, Blank Canvas, Bleach. Same manga shape as X-022/X-023 for the non-C shelves: nearly
# every "linked" cv/gcd field is a reused stamp or points at a wrong volume/series, and the shelf header's own
# cv-issues/gcd-issues pools matched by ORDINAL position (#N suffix) are the real per-book records.

# S2676 Black Clover cv=90843 gcd=118484 0.95 — linked cv names a wrong volume (87078) throughout; linked gcd
# stamps header's own #9 id (1751664) across all 32 books. Header's 36-row pools by ordinal decide both ids.
I 42810 cv=532937 gcd=1751664 0.95 | ordinal #1 of CV 90843 / GCD 118484 header pools; linked cv 510185/87078 names a wrong volume
I 42811 cv=542478 gcd=1751665 0.95 | ordinal #2 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses header's #9 id, wrong for #2
I 42812 cv=552020 gcd=1751666 0.95 | ordinal #3 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses header's #9 id, wrong for #3
I 42813 cv=562632 gcd=1751667 0.95 | ordinal #4 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses header's #9 id, wrong for #4
I 42814 cv=580661 gcd=1751668 0.95 | ordinal #5 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses header's #9 id, wrong for #5
I 42815 cv=590716 gcd=1751669 0.95 | ordinal #6 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses header's #9 id, wrong for #6
I 42816 cv=599790 gcd=1751670 0.95 | ordinal #7 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses header's #9 id, wrong for #7
I 42817 cv=612118 gcd=1751671 0.95 | ordinal #8 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses header's #9 id, wrong for #8
I 42818 cv=636490 gcd=1751672 isbn=9781421596464 0.95 | ordinal #9 of CV 90843 / GCD 118484 header pools; linked gcd 1751664/118484 agrees here, it is genuinely #9's own id
I 42819 cv=656539 gcd=1779497 isbn=978-1-4215-9763-8 0.95 | ordinal #10 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #10
I 42820 cv=668594 gcd=1805636 isbn=978-1-4215-9818-5 0.95 | ordinal #11 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #11
I 42821 cv=679194 gcd=1835408 isbn=978-1-9747-0040-0 0.95 | ordinal #12 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #12
I 42822 cv=691213 gcd=1876544 isbn=978-1-9747-0104-9 0.95 | ordinal #13 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #13
I 42823 cv=700044 gcd=1919141 isbn=978-1-9747-0221-3 0.95 | ordinal #14 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #14
I 42824 cv=707977 gcd=1961159 isbn=978-1-9747-0454-5 0.95 | ordinal #15 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #15
I 42825 cv=712875 gcd=1987333 isbn=978-1-9747-0513-9 0.95 | ordinal #16 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #16
I 42826 cv=717943 gcd=2013495 isbn=978-1-9747-0616-7 0.95 | ordinal #17 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #17
I 42827 cv=726427 gcd=2035400 isbn=978-1-9747-0741-6 0.95 | ordinal #18 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #18
I 42828 cv=732618 gcd=2053501 isbn=978-1-9747-0878-9 0.95 | ordinal #19 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #19
I 42829 cv=738939 gcd=2078634 isbn=978-1-9747-1017-1 0.95 | ordinal #20 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #20
I 42830 cv=766200 gcd=2115905 isbn=978-1-9747-1476-6 0.95 | ordinal #21 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #21
