# X-026 -- item pass over twenty-four manga/OEL shelves (Captain Harlock/Classic Collection, Carole &
# Tuesday, Cat + Gamer, Cat-Eyed Boy, Cat Shit One, the six Cells at Work! shelves, Chaika, Chainsaw
# Man, the two Chi's Sweet shelves, Ciguatera, Citrus+, Claymore, Clockwork Planet, Crying Freeman,
# Cutie and the Beast, Dai Dark, Days on Fes, Daytime Shooting Star, Dead Mount Death Play). As in
# X-025, nearly every per-file GCD pick is a reused title-only stamp (one book's id copied across the
# whole shelf, sometimes jumping to a second wrong id partway through); several per-file CV picks are
# foreign-language or otherwise wrong twins. Every I line below comes from the shelf's own header pool
# (cv issues / gcd issues, ordinal-matched to the book's volume number), not the per-file pick, except
# where noted that the per-file pick agreed.

# S3533 Captain Harlock - The Classic Collection: per-file gcd reused 1815093/125766 (v01's row) on v02.
I 44225 cv=672154 gcd=1815093 isbn=978-1-626927-70-4 0.95 | CV 111382 issue #1 (672154) and GCD 125766 issue #1 (1815093, ISBN 978-1-626927-70-4) agree by ordinal in the shelf's own header pool
I 44226 cv=686185 gcd=1851809 isbn=978-1-626928-49-7 0.95 | CV 111382 issue #2 (686185) and GCD 125766 issue #2 (1851809, ISBN 978-1-626928-49-7) agree by ordinal in the shelf's own header pool

# S3629 Carole & Tuesday: per-file cv is a foreign twin (vol 162304) and per-file gcd reused 2281468/178480 on all 3.
I 44239 cv=821253 gcd=2177690 isbn=9781975313029 0.95 | CV 132578 issue #1 (821253) and GCD 167526 issue #1 (2177690, ISBN 9781975313029) agree by ordinal in the shelf's own header pool
I 44240 cv=840467 gcd=2213338 isbn=9781975321277 0.95 | CV 132578 issue #2 (840467) and GCD 167526 issue #2 (2213338, ISBN 9781975321277) agree by ordinal in the shelf's own header pool
I 44241 cv=903487 gcd=2302019 isbn=9781975338725 0.95 | CV 132578 issue #3 (903487) and GCD 167526 issue #3 (2302019, ISBN 9781975338725) agree by ordinal in the shelf's own header pool

# S3663 Cat + Gamer: per-file gcd reused 2396896/184397 (v01's row) on all 5.
I 44242 cv=1042298 gcd=2396896 isbn=9781506727417 0.95 | CV 156380 issue #1 (1042298) and GCD 184397 issue #1 (2396896, ISBN 9781506727417) agree by ordinal in the shelf's own header pool
I 44243 cv=1044022 gcd=2424715 isbn=9781506727424 0.95 | CV 156380 issue #2 (1044022) and GCD 184397 issue #2 (2424715, ISBN 9781506727424) agree by ordinal in the shelf's own header pool
