# X-027 -- item pass over fifteen manga shelves (Dear NOMAN, Delicious in Dungeon, Demon Slayer:
# Kimetsu Academy, Detroit Metal City, Die Wergelder, Dinosaur Sanctuary, Don't Toy With Me Miss
# Nagatoro, Dorohedoro, Dragon Ball, Dragon Ball Z, Dragon Ball Super, the two Dragon Ball Full Color
# arc shelves, Dragon Head, Drifting Dragons). As in X-025/X-026, nearly every per-file GCD pick is a
# reused title-only stamp and several per-file CV picks are foreign-language/foreign-volume twins.
# Every I line comes from the shelf's own header pool (cv issues / gcd issues, ordinal-matched to
# the book's volume number) or a direct gcd_issue query when the header pool split across series,
# not the per-file pick, except where noted the per-file pick agreed.

# S5191 Dear NOMAN: per-file gcd reused 2200348/169093 (v01's row) on v02.
I 44412 cv=825274 gcd=2200348 isbn=9781975320089 0.95 | CV 133314 issue #1 (825274) and GCD 169093 issue #1 (2200348, ISBN 9781975320089) agree by ordinal in the shelf's own header pool
I 44413 cv=865262 gcd=2235927 isbn=9781975323318 0.95 | CV 133314 issue #2 (865262) and GCD 169093 issue #2 (2235927, ISBN 9781975323318) agree by ordinal in the shelf's own header pool

# S5341 Delicious in Dungeon: per-file gcd reused 1789285/122526 (v01's row) on v01-06, jumped to a
# wrong series (151557) on v07, then a second wrong series (163693) on v08-14 -- header pool used
# throughout. (The shelf's own N: the open provider-disagrees flag on item 44415 is a LOCG artefact --
# our judged ranges make v01 #1-7 / v02 #8-14 contiguous with no gap across the #1-97 ladder.)
I 44414 cv=596841 gcd=1789285 0.95 | CV 101582 issue #1 (596841) and GCD 122526 issue #1 (1789285) agree by ordinal within the shelf's own header pool, matching our v01
I 44415 cv=615876 gcd=1789286 0.95 | CV 101582 issue #2 (615876) and GCD 122526 issue #2 (1789286) agree by ordinal within the shelf's own header pool, matching our v02
I 44416 cv=638224 gcd=1789287 0.95 | CV 101582 issue #3 (638224) and GCD 122526 issue #3 (1789287) agree by ordinal within the shelf's own header pool, matching our v03
I 44417 cv=660525 gcd=1789288 0.95 | CV 101582 issue #4 (660525) and GCD 122526 issue #4 (1789288) agree by ordinal within the shelf's own header pool, matching our v04
I 44418 cv=670211 gcd=1808540 isbn=9781975326449 0.95 | CV 101582 issue #5 (670211) and GCD 122526 issue #5 (1808540, ISBN 9781975326449) agree by ordinal within the shelf's own header pool, matching our v05
I 44419 cv=691783 gcd=1923639 isbn=9781975328054 0.95 | CV 101582 issue #6 (691783) and GCD 122526 issue #6 (1923639, ISBN 9781975328054) agree by ordinal within the shelf's own header pool, matching our v06
I 44420 cv=726431 gcd=2035740 isbn=9781975358587 0.95 | CV 101582 issue #7 (726431) and GCD 122526 issue #7 (2035740, ISBN 9781975358587) agree by ordinal within the shelf's own header pool, matching our v07
I 44421 cv=740185 gcd=2086263 isbn=9781975399405 0.95 | CV 101582 issue #8 (740185) and GCD 122526 issue #8 (2086263, ISBN 9781975399405) agree by ordinal within the shelf's own header pool, matching our v08
I 44422 cv=825266 gcd=2189239 isbn=9781975320164 0.95 | CV 101582 issue #9 (825266) and GCD 122526 issue #9 (2189239, ISBN 9781975320164) agree by ordinal within the shelf's own header pool, matching our v09
I 44423 cv=924101 gcd=2372849 isbn=9781975335588 0.95 | CV 101582 issue #10 (924101) and GCD 122526 issue #10 (2372849, ISBN 9781975335588) agree by ordinal within the shelf's own header pool, matching our v10
I 44424 cv=948834 gcd=2426899 isbn=9781975346720 0.95 | CV 101582 issue #11 (948834) and GCD 122526 issue #11 (2426899, ISBN 9781975346720) agree by ordinal within the shelf's own header pool, matching our v11
I 44425 cv=991027 gcd=2549089 isbn=9781975367985 0.95 | CV 101582 issue #12 (991027) and GCD 122526 issue #12 (2549089, ISBN 9781975367985) agree by ordinal within the shelf's own header pool, matching our v12
I 44426 cv=1048741 gcd=2671382 0.95 | CV 101582 issue #13 (1048741) and GCD 122526 issue #13 (2671382) agree by ordinal within the shelf's own header pool, matching our v13
I 44427 cv=1064009 gcd=2671383 0.95 | CV 101582 issue #14 (1064009) and GCD 122526 issue #14 (2671383) agree by ordinal within the shelf's own header pool, matching our v14

# S5365 Demon Slayer - Kimetsu Academy: per-file gcd reused 2591375/206845 (v01's row) on v02.
I 44428 cv=1034317 gcd=2591375 isbn=978-1-9747-4035-2 0.95 | CV 155337 issue #1 (1034317) and GCD 206845 issue #1 (2591375, ISBN 978-1-9747-4035-2) agree by ordinal in the shelf's own header pool
I 44429 cv=1051730 gcd=2626256 isbn=978-1-9747-4340-7 0.95 | CV 155337 issue #2 (1051730) and GCD 206845 issue #2 (2626256, ISBN 978-1-9747-4340-7) agree by ordinal in the shelf's own header pool

# S5418 Detroit Metal City: per-file gcd reused 1914325/139004 (v01's row) on all 10.
I 43182 cv=220218 gcd=1914325 0.95 | CV 33740 issue #1 (220218) and GCD 139004 issue #1 (1914325) agree by ordinal in the shelf's own header pool
I 43183 cv=220219 gcd=1914326 0.95 | CV 33740 issue #2 (220219) and GCD 139004 issue #2 (1914326) agree by ordinal in the shelf's own header pool
I 43184 cv=220220 gcd=1914327 0.95 | CV 33740 issue #3 (220220) and GCD 139004 issue #3 (1914327) agree by ordinal in the shelf's own header pool
I 43185 cv=220221 gcd=1914328 0.95 | CV 33740 issue #4 (220221) and GCD 139004 issue #4 (1914328) agree by ordinal in the shelf's own header pool
I 43186 cv=220222 gcd=1914329 0.95 | CV 33740 issue #5 (220222) and GCD 139004 issue #5 (1914329) agree by ordinal in the shelf's own header pool
I 43187 cv=260435 gcd=1914330 0.95 | CV 33740 issue #6 (260435) and GCD 139004 issue #6 (1914330) agree by ordinal in the shelf's own header pool
I 43188 cv=260436 gcd=1914331 0.95 | CV 33740 issue #7 (260436) and GCD 139004 issue #7 (1914331) agree by ordinal in the shelf's own header pool
I 43189 cv=266193 gcd=1914332 0.95 | CV 33740 issue #8 (266193) and GCD 139004 issue #8 (1914332) agree by ordinal in the shelf's own header pool
I 43190 cv=274442 gcd=1914333 0.95 | CV 33740 issue #9 (274442) and GCD 139004 issue #9 (1914333) agree by ordinal in the shelf's own header pool
I 43191 cv=293198 gcd=1914334 0.95 | CV 33740 issue #10 (293198) and GCD 139004 issue #10 (1914334) agree by ordinal in the shelf's own header pool

# S5459 Die Wergelder: single-book shelf; per-file matched the header pool directly by issue number.
