# X-030 — 14 manga shelves carried over from B-044/A-020, no C OWED markers. Same reused-stamp shape as
# X-028/X-029 dominates: on Gleipnir, Goblin Slayer, Goblin Slayer Side Story II, Golden Japanesque, Golden
# Kamuy, Granblue Fantasy and Grand Blue Dreaming the per-file GCD pick reuses the shelf's #1 issue id across
# every book, and on Gleipnir/Golden Kamuy/Granblue Fantasy/Grand Blue Dreaming/Gunslinger Girl the per-file CV
# pick also lands on one unrelated wrong volume stamped across the whole shelf. Giant Killing is the exception:
# its per-file picks (method "fulldump-rematch") already match the shelf's own header pool book-for-book, so
# those I lines simply confirm them. Every I line is the shelf's own header cv-issues/gcd-issues pool matched
# by volume ORDINAL (v01=#1, v02=#2, ...) per the manga item-pass ledger. Gintama and Gunslinger Girl are
# Japanese-original/foreign-dump pairs (no English license) at the shelf's own 0.9 cap; Granny Girl Hinata-chan
# and Guilty have no genuine GCD row at all (gcd=- per the shelf identity) despite a per-file GCD pick showing
# on Guilty — that pick (111935) is an unrelated series, rejected.

I 39300 cv=590725 gcd=1953682 0.95 | Ghost Diary shelf pool (CV 100551/GCD 144408) ordinal #1: both ids match the per-file pick exactly
I 39301 cv=606446 gcd=1953683 0.95 | shelf pool ordinal #2: CV 606446 matches per-file; GCD 1953683 corrects the per-file's reused #1 stamp (1953682 shown on all three books)
I 39302 cv=628320 gcd=1953684 0.95 | shelf pool ordinal #3: CV 628320 matches per-file; GCD 1953684 corrects the same reused stamp

I 44642 cv=303426 gcd=1280487 0.9 | Giant Killing shelf pool ordinal #1 (208pp isbn ...593-3); per-file's own fulldump-rematch pick already matches the pool here, ComicInfo Web CMXDB496909
I 44643 cv=303427 gcd=1280488 0.9 | shelf pool ordinal #2 (224pp isbn ...618-3); per-file's fulldump-rematch pick matches the pool exactly, same as v01
I 44644 cv=303428 gcd=1280489 0.9 | shelf pool ordinal #3 (224pp isbn ...637-4); per-file's fulldump-rematch pick matches the pool exactly
I 44645 cv=303429 gcd=1280490 0.9 | shelf pool ordinal #4 (224pp isbn ...660-2); per-file's fulldump-rematch pick matches the pool exactly
I 44646 cv=303431 gcd=1280491 0.9 | shelf pool ordinal #5 (216pp isbn ...682-4); per-file's fulldump-rematch pick matches the pool exactly
I 44647 cv=303432 gcd=1280492 0.9 | shelf pool ordinal #6 (224pp isbn ...716-6); per-file's fulldump-rematch pick matches the pool exactly
I 44648 cv=303433 gcd=1280493 0.9 | shelf pool ordinal #7 (224pp isbn ...740-1); per-file's fulldump-rematch pick matches the pool exactly
I 44649 cv=303434 gcd=1280494 0.9 | shelf pool ordinal #8 (224pp isbn ...753-1); per-file's fulldump-rematch pick matches the pool exactly
I 44650 cv=303435 gcd=1280495 0.9 | shelf pool ordinal #9 (224pp isbn ...769-2); per-file's fulldump-rematch pick matches the pool exactly
I 44651 cv=303436 gcd=1280496 0.9 | shelf pool ordinal #10 (224pp isbn ...789-0); per-file's fulldump-rematch pick matches the pool exactly
I 44652 cv=303437 gcd=1280497 0.9 | shelf pool ordinal #11 (224pp isbn ...818-7); per-file's fulldump-rematch pick matches the pool exactly
I 44653 cv=303438 gcd=1280498 0.9 | shelf pool ordinal #12 (224pp isbn ...840-8); per-file's fulldump-rematch pick matches the pool exactly
I 44654 cv=303439 gcd=1280499 0.9 | shelf pool ordinal #13 (224pp isbn ...868-2); per-file's fulldump-rematch pick matches the pool exactly
I 44655 cv=303440 gcd=1280500 0.9 | shelf pool ordinal #14 (224pp isbn ...897-2); per-file's fulldump-rematch pick matches the pool exactly

I 39938 cv=290438 gcd=2473126 0.9 | Gintama (Japanese-original CV 42491, GCD 194511 [ja-jp], no English license) shelf pool ordinal #1; per-file link was blank for both legs on all nine books
I 39939 cv=290439 gcd=2473127 0.9 | shelf pool ordinal #2, same Japanese-original identity as v01, per-file link was blank
I 39940 cv=290440 gcd=2473128 0.9 | shelf pool ordinal #3, same Japanese-original identity as v01, per-file link was blank
I 39941 cv=290441 gcd=2473129 0.9 | shelf pool ordinal #4, same Japanese-original identity as v01, per-file link was blank
I 39942 cv=290442 gcd=2473130 0.9 | shelf pool ordinal #5, same Japanese-original identity as v01, per-file link was blank
I 39943 cv=290443 gcd=2473131 0.9 | shelf pool ordinal #6, same Japanese-original identity as v01, per-file link was blank
I 39944 cv=290444 gcd=2473132 0.9 | shelf pool ordinal #7, same Japanese-original identity as v01; judged #50-50 is a single chapter, not a wrong volume
I 39945 cv=290445 gcd=2473133 0.9 | shelf pool ordinal #8, same Japanese-original identity as v01; judged #59-59 is a single chapter, not a wrong volume
I 39946 cv=290446 gcd=2473134 0.9 | shelf pool ordinal #9, same Japanese-original identity as v01; judged range REFUSED does not block the record

I 33962 cv=596846 gcd=1754288 0.95 | Girls' Last Tour shelf pool ordinal #1 (162pp isbn ...062-9): both ids match per-file pick exactly
I 39510 cv=615884 gcd=1754289 0.95 | shelf pool ordinal #2 (162pp isbn ...064-3): CV 615884 matches per-file; GCD 1754289 corrects the per-file's reused #1 stamp shown on v02-v06 alike
I 39511 cv=636511 gcd=1754290 0.95 | shelf pool ordinal #3 (162pp isbn ...0681): CV 636511 matches per-file; GCD 1754290 corrects the reused stamp
I 39512 cv=660530 gcd=1788160 0.95 | shelf pool ordinal #4 (162pp isbn ...5989): CV 660530 matches per-file; GCD 1788160 corrects the reused stamp
I 39513 cv=693988 gcd=1923325 0.95 | shelf pool ordinal #5 (162pp isbn ...0939): CV 693988 matches per-file; judged range REFUSED does not block the record
I 39514 cv=701155 gcd=1926073 0.95 | shelf pool ordinal #6 (isbn ...9037): CV 701155 matches per-file; judged range REFUSED does not block the record

I 44656 cv=703606 gcd=1939927 0.95 | Gleipnir shelf pool ordinal #1: GCD 1939927 matches per-file pick; per-file cv (137739) is a different, unrelated volume, rejected
I 44657 cv=709893 gcd=1970425 0.95 | shelf pool ordinal #2: GCD 1970425 corrects the per-file's reused #1 stamp (1939927 shown on every one of the 14 books)
I 44658 cv=714084 gcd=1998961 0.95 | shelf pool ordinal #3: GCD 1998961 corrects the reused stamp
I 44659 cv=722729 gcd=2025868 0.95 | shelf pool ordinal #4: GCD 2025868 corrects the reused stamp
I 44660 cv=727966 gcd=2039135 0.95 | shelf pool ordinal #5: GCD 2039135 corrects the reused stamp
I 44661 cv=737573 gcd=2072712 0.95 | shelf pool ordinal #6: GCD 2072712 corrects the reused stamp
I 44662 cv=794577 gcd=2133961 0.95 | shelf pool ordinal #7: GCD 2133961 corrects the reused stamp
I 44663 cv=821309 gcd=2177788 0.95 | shelf pool ordinal #8: GCD 2177788 corrects the reused stamp
I 44664 cv=862907 gcd=2233079 0.95 | shelf pool ordinal #9: GCD 2233079 corrects the reused stamp
I 44665 cv=896636 gcd=2287876 0.95 | shelf pool ordinal #10: GCD 2287876 corrects the reused stamp
