# X-034 item batch: manga L-titles (Eizouken through Love in Hell). No C OWED markers anywhere in this packet, so
# every line is I (plus Lone Wolf's shelf N, already on record). The dominant shape across the whole batch: the
# per-file GCD pick reuses volume 1's title-only id across every book on a shelf (Eizouken, King in Limbo, Land of
# the Lustrous, Levius-est, Little Witch Academia, Love at Fourteen, Mobile-adjacent Gundam shelves not in this
# file); Knights of Sidonia and March-Story-style shelves show the stamp JUMP to a second wrong id partway (v13-15
# here); Love Hina is wrong on BOTH legs (cv volume 55275, gcd series 149110) against its own 5-book omnibus
# ladder. All corrected by ordinal from the shelf's own header cv/gcd pools. Lone Wolf and Cub is the one shelf
# where per-file was ALREADY right on both legs in both its rips (Minutemen and danke-Empire, 28 volumes each,
# confirming the shelf's own N about the two identical rips) - I lines just confirm them. Let's Kiss in Secret
# Tomorrow's gcd leg is the French Pika Édition (language pairing, inherits the shelf's 0.9). Love in Hell -
# Death Life's per-file carries no ids at all; filled entirely from the two-issue header pool.
I 44926 cv=816077 gcd=2160941 0.95 | header ladder #1 of CV 131709 / GCD 165951 Keep Your Hands Off Eizouken! (Dark Horse 2020-?, count 7); per-file gcd is correct for v01, isbn 978-1-50671-897-2
I 44927 cv=857557 gcd=2227723 0.95 | header ladder #2 of CV 131709 / GCD 165951; per-file gcd stamps v01's title-only id 2160941 across all five books, corrected by ordinal, isbn 978-1-50671-898-9
I 44928 cv=1039083 gcd=2303788 0.95 | header ladder #3 of CV 131709 / GCD 165951; per-file gcd stamps v01's id 2160941, corrected by ordinal, isbn 9781506718996
I 44929 cv=1039084 gcd=2448489 0.95 | header ladder #4 of CV 131709 / GCD 165951; per-file gcd stamps v01's id 2160941, corrected by ordinal, isbn 9781506731490
I 44930 cv=1039085 gcd=2529082 0.95 | header ladder #5 of CV 131709 / GCD 165951; per-file gcd stamps v01's id 2160941, corrected by ordinal, isbn 9781506731506
I 43613 cv=1041106 gcd=2604273 0.95 | header ladder #1 of CV 156165 / GCD 208011 King in Limbo (Kodansha USA 2024, count 3 omnibuses = our v01-v03); isbn 9781646519231 on the gcd row
I 43614 cv=1052409 gcd=2625571 0.95 | header ladder #2 of CV 156165 / GCD 208011; per-file gcd stamps v01's id 2604273 across all three omnibuses, corrected by ordinal, isbn 9798888770122
I 43615 cv=1065284 gcd=2648602 0.95 | header ladder #3 of CV 156165 / GCD 208011; per-file gcd stamps v01's id 2604273, corrected by ordinal, isbn 9798888770139
I 42109 cv=386185 gcd=1281155 0.95 | header ladder #1 of CV 57191 / GCD 84622 Knights of Sidonia (Vertical 2013-2016); 184pp isbn 978-1-935654-80-3, cv matched correctly per-file
I 42110 cv=399048 gcd=1281156 0.95 | header ladder #2 of CV 57191 / GCD 84622; per-file gcd stamps v01's id 1281155 across v01-v12, corrected by ordinal, 184pp isbn 978-1-935654-81-0
I 42111 cv=410374 gcd=1281338 0.95 | header ladder #3 of CV 57191 / GCD 84622; corrected by ordinal, 184pp isbn 978-1-935654-82-7
I 42112 cv=421749 gcd=1281337 0.95 | header ladder #4 of CV 57191 / GCD 84622; corrected by ordinal, 182pp isbn 978-1-935654-89-6
I 42113 cv=428906 gcd=1281369 0.95 | header ladder #5 of CV 57191 / GCD 84622; corrected by ordinal, 184pp isbn 978-1-935654-99-5
I 42114 cv=436276 gcd=1281368 0.95 | header ladder #6 of CV 57191 / GCD 84622; corrected by ordinal, 184pp isbn 978-1-932234-91-6
I 42115 cv=445239 gcd=1283946 0.95 | header ladder #7 of CV 57191 / GCD 84622; corrected by ordinal, 176pp isbn 978-1-939130-02-0
I 42116 cv=450131 gcd=1283945 0.95 | header ladder #8 of CV 57191 / GCD 84622; corrected by ordinal, 176pp isbn 978-1-939130-21-1
I 42117 cv=455551 gcd=1283944 0.95 | header ladder #9 of CV 57191 / GCD 84622; corrected by ordinal, 192pp isbn 978-1-939130-22-8
I 42118 cv=461808 gcd=1283943 0.95 | header ladder #10 of CV 57191 / GCD 84622; corrected by ordinal, 176pp isbn 978-1-939130-90-7
I 42119 cv=467734 gcd=1283942 0.95 | header ladder #11 of CV 57191 / GCD 84622; corrected by ordinal, 176pp isbn 978-1-939130-91-4
I 42120 cv=472033 gcd=1289125 0.95 | header ladder #12 of CV 57191 / GCD 84622; corrected by ordinal, 176pp isbn 978-1-939130-99-0
I 42121 cv=482013 gcd=1336102 0.95 | header ladder #13 of CV 57191 / GCD 84622; per-file gcd jumps to a second wrong series 149104 for v13-15, corrected by ordinal, 176pp isbn 978-1-941220-32-0
I 42122 cv=501540 gcd=1524761 0.95 | header ladder #14 of CV 57191 / GCD 84622; per-file gcd's second wrong-series stamp 149104 corrected by ordinal, 168pp isbn 978-1-941220-86-3
I 42123 cv=526990 gcd=1562846 0.95 | header ladder #15 of CV 57191 / GCD 84622; per-file gcd's second wrong-series stamp 149104 corrected by ordinal, 264pp isbn 978-1-942993-13-1
I 45009 cv=711090 gcd=1975712 0.95 | header ladder #1 of CV 119612 / GCD 147349 Komi Can't Communicate (Viz 2019-2026); per-file cv stamps a foreign volume 137805 across all 30 books, gcd correct for v01
I 45010 cv=716191 gcd=2009364 0.95 | header ladder #2 of CV 119612 / GCD 147349; per-file cv foreign volume 137805 and gcd v01's stamp 1975712, both corrected by ordinal
I 45011 cv=721585 gcd=2023042 0.95 | header ladder #3 of CV 119612 / GCD 147349; per-file cv/gcd wrong, corrected by ordinal
I 45012 cv=730079 gcd=2046599 0.95 | header ladder #4 of CV 119612 / GCD 147349; per-file cv/gcd wrong, corrected by ordinal
I 45013 cv=736868 gcd=2068999 0.95 | header ladder #5 of CV 119612 / GCD 147349; per-file cv/gcd wrong, corrected by ordinal
I 45014 cv=748532 gcd=2105717 0.95 | header ladder #6 of CV 119612 / GCD 147349; per-file cv/gcd wrong, corrected by ordinal
I 45015 cv=767748 gcd=2118105 0.95 | header ladder #7 of CV 119612 / GCD 147349; per-file cv/gcd wrong, corrected by ordinal
I 45016 cv=791549 gcd=2133476 0.95 | header ladder #8 of CV 119612 / GCD 147349; per-file cv/gcd wrong, corrected by ordinal
I 45017 cv=808128 gcd=2153282 0.95 | header ladder #9 of CV 119612 / GCD 147349; per-file cv/gcd wrong, corrected by ordinal
I 45018 cv=820548 gcd=2175943 0.95 | header ladder #10 of CV 119612 / GCD 147349; per-file cv/gcd wrong, corrected by ordinal
I 45019 cv=827934 gcd=2196883 0.95 | header ladder #11 of CV 119612 / GCD 147349; per-file cv/gcd wrong, corrected by ordinal
I 45020 cv=842829 gcd=2217417 0.95 | header ladder #12 of CV 119612 / GCD 147349; per-file cv/gcd wrong, corrected by ordinal
I 45021 cv=858579 gcd=2230962 0.95 | header ladder #13 of CV 119612 / GCD 147349; per-file cv/gcd wrong, corrected by ordinal
I 45022 cv=878548 gcd=2255077 0.95 | header ladder #14 of CV 119612 / GCD 147349; per-file cv/gcd wrong, corrected by ordinal
I 45023 cv=889342 gcd=2269769 0.95 | header ladder #15 of CV 119612 / GCD 147349; per-file cv/gcd wrong, corrected by ordinal
I 45024 cv=898058 gcd=2287540 0.95 | header ladder #16 of CV 119612 / GCD 147349; per-file cv foreign volume, gcd jumps to a second wrong series 185187 from v17, both corrected by ordinal
I 45025 cv=906529 gcd=2312607 0.95 | header ladder #17 of CV 119612 / GCD 147349; per-file gcd's second wrong-series stamp 185187/2401838 corrected by ordinal
I 45026 cv=917438 gcd=2387082 0.95 | header ladder #18 of CV 119612 / GCD 147349; corrected by ordinal
I 45027 cv=933633 gcd=2413556 0.95 | header ladder #19 of CV 119612 / GCD 147349; corrected by ordinal
I 45028 cv=941404 gcd=2424607 0.95 | header ladder #20 of CV 119612 / GCD 147349; corrected by ordinal
I 45029 cv=954662 gcd=2440082 0.95 | header ladder #21 of CV 119612 / GCD 147349; corrected by ordinal
I 45030 cv=959793 gcd=2470479 0.95 | header ladder #22 of CV 119612 / GCD 147349; corrected by ordinal
I 45031 cv=972292 gcd=2494515 0.95 | header ladder #23 of CV 119612 / GCD 147349; corrected by ordinal
