# X-036 item batch: manga M-titles continued (Muhyo & Roji's through Nana). Same reused-title-only-id shape
# throughout. Muhyo & Roji's per-file carries NO gcd id at all (blank on every one of 18 books) - filled entirely
# from the header pool. Mushishi and My Hero Academia - Smash!! are wrong on BOTH legs (foreign/omnibus cv volume
# plus a wrong gcd series). My Hero Academia itself is the most extreme stamp-jump case in the whole item pass so
# far: the per-file gcd pick cycles through FOUR different wrong series (105138, 204933, 236032, 228276) across
# its 38 books while cv stays pinned to one wrong foreign volume (166768) throughout; all 38 corrected by ordinal
# against the shelf's own 42-issue header ladder. My Pink is Overflowing is a single-leg (cv-only) shelf; its one
# book's per-file link was already correct. No C OWED markers appear anywhere in this packet.
I 42616 cv=309127 gcd=669643 0.95 | header ladder #1 of CV 44921 / GCD 38857 Muhyo & Roji's Bureau of Supernatural Investigation (Viz 2007-2010); per-file carries no gcd id at all, filled from the header pool by ordinal, 214pp isbn 978-1-4215-1376-8 "Rie & Taeko"
I 42617 cv=309129 gcd=669644 0.95 | header ladder #2 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal, 212pp isbn 978-1-4215-1377-5
I 42618 cv=309130 gcd=669645 0.95 | header ladder #3 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal, 204pp isbn 978-1-4215-1546-5
I 42619 cv=309132 gcd=669646 0.95 | header ladder #4 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal, 204pp isbn 978-1-4215-1639-4
I 42620 cv=309133 gcd=669647 0.95 | header ladder #5 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal
I 42621 cv=309135 gcd=669648 0.95 | header ladder #6 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal, 206pp isbn 978-1-4215-1641-7 "Awakening"
I 42622 cv=309136 gcd=669649 0.95 | header ladder #7 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal, 200pp isbn 978-1-4215-1642-4 "Trials & Tribulations"
I 42623 cv=309137 gcd=669650 0.95 | header ladder #8 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal, 204pp isbn 978-1-4215-1643-1 "Bonds"
I 42624 cv=309141 gcd=669651 0.95 | header ladder #9 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal, 204pp isbn 978-1-4215-2423-8 "Pansies"
I 42625 cv=309142 gcd=669652 0.95 | header ladder #10 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal, 212pp isbn 978-1-4215-2424-5 "Fate"
I 42626 cv=309145 gcd=669653 0.95 | header ladder #11 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal, 212pp isbn 978-1-4215-2425-2 "Rescue Mission"
I 42627 cv=309146 gcd=669654 0.95 | header ladder #12 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal, 196pp isbn 978-1-4215-2426-9
I 42628 cv=309148 gcd=732899 0.95 | header ladder #13 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal
I 42629 cv=309149 gcd=732900 0.95 | header ladder #14 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal
I 42630 cv=309151 gcd=732901 0.95 | header ladder #15 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal
I 42631 cv=309152 gcd=743434 0.95 | header ladder #16 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal
I 42632 cv=309154 gcd=760256 0.95 | header ladder #17 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal
I 42633 cv=309156 gcd=771525 0.95 | header ladder #18 of CV 44921 / GCD 38857; per-file gcd blank, filled by ordinal, isbn 978-1-4215-2840-3
I 41456 cv=272734 gcd=1906096 0.95 | header ladder #1 of CV 40464 / GCD 137746 Mushishi (Random House 2007-2010); per-file cv stamps a wrong volume 162365 and gcd a wrong series 132365/1863214 across all seven books, corrected by ordinal
I 41457 cv=272736 gcd=1906097 0.95 | header ladder #2 of CV 40464 / GCD 137746; per-file cv/gcd both wrong, corrected by ordinal
I 41458 cv=272737 gcd=1906098 0.95 | header ladder #3 of CV 40464 / GCD 137746; corrected by ordinal
I 41459 cv=272738 gcd=1906099 0.95 | header ladder #4 of CV 40464 / GCD 137746; corrected by ordinal
I 41460 cv=272739 gcd=1906100 0.95 | header ladder #5 of CV 40464 / GCD 137746; corrected by ordinal
I 41461 cv=351849 gcd=1906101 0.95 | header ladder #6 of CV 40464 / GCD 137746; corrected by ordinal, 256pp isbn 0345501667
I 41462 cv=272740 gcd=1906102 0.95 | header ladder #7 of CV 40464 / GCD 137746; corrected by ordinal
I 41392 cv=594013 gcd=1722805 0.95 | header ladder #1 of CV 101151 / GCD 115534 My Brother's Husband (Pantheon 2017-2018, count 2 omnibuses = our two); per-file cv stamps a wrong volume 80345, gcd correct for v01, 360pp isbn 978-1-101-87151-5
I 41393 cv=685548 gcd=1849471 0.95 | header ladder #2 of CV 101151 / GCD 115534; per-file cv wrong volume 80345 and gcd v01's stamp 1722805, both corrected by ordinal, isbn 9781101871539
I 39425 cv=496798 gcd=1621104 0.95 | header ladder #1 of CV 83681 / GCD 106221 My Hero Academia (Viz 2015-2025); per-file cv stamps a wrong foreign volume 166768 across all 38 books, gcd correct for v01, 196pp isbn 978-1-4215-8269-6
I 39426 cv=504181 gcd=1621105 0.95 | header ladder #2 of CV 83681 / GCD 106221; per-file gcd stamps v01's id 1621104, corrected by ordinal, 212pp isbn 978-1-4215-8270-2
I 39427 cv=513435 gcd=1621106 0.95 | header ladder #3 of CV 83681 / GCD 106221; per-file gcd jumps to a wrong series 105138/1611212 for v03-v10, corrected by ordinal, 196pp isbn 978-1-4215-8510-9
I 39428 cv=526997 gcd=1621107 0.95 | header ladder #4 of CV 83681 / GCD 106221; per-file gcd's wrong-series stamp 105138 corrected by ordinal, 196pp isbn 978-1-4215-8511-6
I 39429 cv=542487 gcd=1621108 0.95 | header ladder #5 of CV 83681 / GCD 106221; corrected by ordinal, 196pp isbn 978-1-4215-8702-8
I 39430 cv=556392 gcd=1663270 0.95 | header ladder #6 of CV 83681 / GCD 106221; corrected by ordinal, 196pp isbn 978-1-4215-8866-7
I 39431 cv=580673 gcd=1680039 0.95 | header ladder #7 of CV 83681 / GCD 106221; corrected by ordinal, 196pp isbn 978-1-4215-9040-0
I 39432 cv=594014 gcd=1697545 0.95 | header ladder #8 of CV 83681 / GCD 106221; corrected by ordinal, 196pp isbn 978-1-4215-9167-4
I 39433 cv=612134 gcd=1731492 0.95 | header ladder #9 of CV 83681 / GCD 106221; corrected by ordinal, 196pp isbn 978-1-4215-9340-1
I 39434 cv=636566 gcd=1751569 0.95 | header ladder #10 of CV 83681 / GCD 106221; corrected by ordinal, 196pp isbn 9781421594378
I 39435 cv=656552 gcd=1779504 0.95 | header ladder #11 of CV 83681 / GCD 106221; per-file gcd jumps to a second wrong series 204933/2573013 for v11-v25, corrected by ordinal, 212pp isbn 978-1-4215-9583-2
I 39436 cv=664819 gcd=1798580 0.95 | header ladder #12 of CV 83681 / GCD 106221; per-file gcd's second wrong-series stamp 204933 corrected by ordinal, 196pp isbn 978-1-4215-9701-0
I 39437 cv=672161 gcd=1814952 0.95 | header ladder #13 of CV 83681 / GCD 106221; corrected by ordinal, 196pp isbn 978-1-4215-9803-1
I 39438 cv=677786 gcd=1827447 0.95 | header ladder #14 of CV 83681 / GCD 106221; corrected by ordinal, 212pp isbn 978-1-4215-9947-2
I 39439 cv=686831 gcd=1855066 0.95 | header ladder #15 of CV 83681 / GCD 106221; corrected by ordinal, 196pp isbn 978-1-9747-0100-1
I 39440 cv=693951 gcd=1882720 0.95 | header ladder #16 of CV 83681 / GCD 106221; corrected by ordinal, 196pp isbn 978-1-9747-0255-8
I 39441 cv=700058 gcd=1921072 0.95 | header ladder #17 of CV 83681 / GCD 106221; corrected by ordinal, 196pp isbn 978-1-9747-0256-5
I 39442 cv=705331 gcd=1944125 0.95 | header ladder #18 of CV 83681 / GCD 106221; corrected by ordinal, 188pp isbn 978-1-9747-0437-8
I 39443 cv=710543 gcd=1974263 0.95 | header ladder #19 of CV 83681 / GCD 106221; corrected by ordinal, 196pp isbn 978-1-9747-0460-6
I 39444 cv=713744 gcd=2006329 0.95 | header ladder #20 of CV 83681 / GCD 106221; corrected by ordinal, 200pp isbn 978-1-9747-0773-7
I 39445 cv=721015 gcd=2020176 0.95 | header ladder #21 of CV 83681 / GCD 106221; corrected by ordinal, 204pp isbn 978-1-9747-0950-2
I 39446 cv=729335 gcd=2045655 0.95 | header ladder #22 of CV 83681 / GCD 106221; corrected by ordinal, 196pp isbn 978-1-9747-0965-6
I 39447 cv=736381 gcd=2065708 0.95 | header ladder #23 of CV 83681 / GCD 106221; corrected by ordinal, 204pp isbn 978-1-9747-0966-3
I 39448 cv=766205 gcd=2115995 0.95 | header ladder #24 of CV 83681 / GCD 106221; corrected by ordinal, 196pp isbn 978-1-9747-1120-8
I 39449 cv=805338 gcd=2151313 0.95 | header ladder #25 of CV 83681 / GCD 106221; corrected by ordinal, 204pp isbn 978-1-9747-1762-0
I 39450 cv=823864 gcd=2184131 0.95 | header ladder #26 of CV 83681 / GCD 106221; per-file gcd jumps to a third wrong series 236032/2827547 for v26-v36, corrected by ordinal, 204pp isbn 978-1-9747-1977-8
I 39451 cv=841830 gcd=2215906 0.95 | header ladder #27 of CV 83681 / GCD 106221; per-file gcd's third wrong-series stamp 236032 corrected by ordinal, 188pp isbn 978-1-9747-2101-6
I 39452 cv=856549 gcd=2230907 0.95 | header ladder #28 of CV 83681 / GCD 106221; corrected by ordinal, 188pp isbn 978-1-9747-2288-4
I 39453 cv=883807 gcd=2261126 0.95 | header ladder #29 of CV 83681 / GCD 106221; corrected by ordinal, 188pp isbn 978-1-9747-2510-6
I 39454 cv=909507 gcd=2366603 0.95 | header ladder #30 of CV 83681 / GCD 106221; corrected by ordinal, 204pp isbn 978-1-9747-2715-5
I 39455 cv=934844 gcd=2417313 0.95 | header ladder #31 of CV 83681 / GCD 106221; corrected by ordinal, 220pp isbn 978-1-9747-3212-8
I 39456 cv=942844 gcd=2438583 0.95 | header ladder #32 of CV 83681 / GCD 106221; corrected by ordinal, 220pp isbn 978-1-9747-3236-4
I 39457 cv=963610 gcd=2493084 0.95 | header ladder #33 of CV 83681 / GCD 106221; corrected by ordinal, 196pp isbn 978-1-9747-3474-0
I 39458 cv=963611 gcd=2527456 0.95 | header ladder #34 of CV 83681 / GCD 106221; corrected by ordinal, 196pp isbn 978-1-9747-3663-8
