# X-050 — item batch, heavily Marvel Epic Collection / creator-named collected-line shelves plus a few
# manga/magazine/British singles. Recurring pattern: many per-file GCD "num"/"identity-read" picks are the
# shelf's own trustworthy resolution and are transcribed directly; several per-file picks are known traps
# (reused title-only stamp across every volume of a line — A-Force Presents, Heroes Reborn Companion,
# Immortal X-Men's Italian Panini stamp, Official Handbook's Deluxe-Edition stamp) corrected from the
# shelf's own header cv/gcd pool by ordinal or title. Several "no record found" shelf notes were resolved
# by lookup.py under a different spelling (Machine Man, Darkhold, Captain Britain Omnibus, Captain Britain
# and MI:13: Secret Invasion, Aliens: Hive, Strange Tales, Immortal X-Men by Kieron Gillen, Savage Avengers'
# two trades, Avengers and the Infinity Gauntlet). C OWED books on Epic/deluxe-edition lines each collect a
# range of the underlying ongoing named in the shelf's own N note — those runs (Avengers 1963 CV 2128/GCD
# 1571; Avengers West Coast retitled CV 18494/GCD 3830; Captain America 1998 v3 CV 6206/GCD 6023; Captain
# America 2011 v6 CV 41245/GCD 59241; Daredevil 1964 CV 2190/GCD 1636; Micronauts 1979 CV 3008/GCD 2514)
# were all found by lookup.py, several where the shelf's own N note said none could be found.
# S21750 Witches: this batch's only book is Daisuke Igarashi's manga (Manga\_Daisuke Igarashi\Witches
# folder), not the Marvel 2004 mini the shelf's S line names — presenting for the lead, not resolving.

I 49177 cv=962737 gcd=2440591 isbn=978-1-302-94953-2 0.95 | Trials of X v01: CV 147219 #1 (962737) and GCD 190684 #1 (2440591, 180pp, ISBN 978-1-302-94953-2) agree by num; our 165pp file is within 15pp
I 49178 cv=962738 gcd=2449984 isbn=978-1-302-94954-9 0.95 | v02: CV 147219 #2 (962738) and GCD 190684 #2 (2449984, 156pp, ISBN 978-1-302-94954-9) agree by num; our 139pp file is within 17pp
I 49179 cv=962739 gcd=2468436 isbn=978-1-302-94955-6 0.95 | v03: CV 147219 #3 (962739) and GCD 190684 #3 (2468436, 172pp, ISBN 978-1-302-94955-6) agree by num; our 159pp file is within 13pp
I 49180 cv=970772 gcd=2476405 isbn=978-1-302-94956-3 0.95 | v04: CV 147219 #4 (970772) and GCD 190684 #4 (2476405, 164pp, ISBN 978-1-302-94956-3) agree by num; our 152pp file is within 12pp
I 49181 cv=974793 gcd=2495746 isbn=978-1-302-94957-0 0.95 | v05: CV 147219 #5 (974793) and GCD 190684 #5 (2495746, 156pp, ISBN 978-1-302-94957-0) agree by num; our 142pp file is within 14pp
I 49182 cv=976227 gcd=2500240 isbn=978-1-302-94840-5 0.95 | v06: CV 147219 #6 (976227) and GCD 190684 #6 (2500240, 164pp, ISBN 978-1-302-94840-5) agree by num; our 152pp file is within 12pp
I 49183 cv=979982 gcd=2511441 isbn=978-1-302-94841-2 0.95 | v07: CV 147219 #7 (979982) and GCD 190684 #7 (2511441, 148pp, ISBN 978-1-302-94841-2) agree by num; our 134pp file is within 14pp
I 49184 cv=983859 gcd=2518558 isbn=978-1-302-94842-9 0.95 | v08: CV 147219 #8 (983859) and GCD 190684 #8 (2518558, 140pp, ISBN 978-1-302-94842-9) agree by num; our 126pp file is within 14pp
I 49185 cv=988643 gcd=2527833 isbn=978-1-302-94843-6 0.95 | v09: CV 147219 #9 (988643) and GCD 190684 #9 (2527833, 164pp, ISBN 978-1-302-94843-6) agree by num; our 147pp file is within 17pp
I 49186 cv=996015 gcd=2546674 isbn=978-1-302-94844-3 0.95 | v10: CV 147219 #10 (996015) and GCD 190684 #10 (2546674, 164pp, ISBN 978-1-302-94844-3) agree by num; our 151pp file is within 13pp
I 49187 cv=1003839 gcd=2557637 isbn=978-1-302-94845-0 0.95 | v11: CV 147219 #11 (1003839) and GCD 190684 #11 (2557637, 164pp, ISBN 978-1-302-94845-0) agree by num; our 153pp file is within 11pp
