# X-051 — item batch, almost entirely Marvel Epic Collection / creator-named collected-line shelves.
# Same recurring shapes as X-050: reused title-only stamps corrected from the shelf's own header pool;
# several "no record in either leg" shelf notes were resolved by lookup.py under a different spelling
# (Deadpool by Alyssa Wong's real 2-vol line, Guardians of the Galaxy: Grootfall, Incredible Hulks: Heart
# of the Monster, Skaar: Son of Hulk - The Complete Collection, Annihilators trade, W.E.B. of Spider-Man
# GN-TPB, Spider-Man: With Great Power's real trade, Superior Spider-Man: Otto-Matic); several others stay
# genuine gaps after a second check (Incredible Hulk v1 2009's three trades, Iron Man: Legacy's two trades,
# Incredible Hulks: Chaos War). Doctor Strange Epic Collection's C-OWED books are answered with N, not an
# invented C: their judged ranges are CUMULATIVE across Strange Tales + two different "Doctor Strange"
# volumes and no single CV/GCD run id covers that numbering (the shelf's own N notes say the same for the
# single-book Doctor Strange/Silver Surfer/Captain America/Conan/Iron Man/Punisher/Defenders/Hulk Visionaries
# Epic shelves, which is why none of THOSE carry the C OWED marker at all). Runs found for the genuine
# single-run C-OWED lines: Daredevil (1964, CV 2190/GCD 1636, carried over from X-050), Eternals (1976, CV
# 2858/GCD 2346, already on the shelf), Fantastic Four (1961, CV 2045/GCD 1482), Alias (2001, CV 9452/GCD
# 10240), Amazing Spider-Man 2015 v4/legacy (CV 85076/GCD 92892), Amazing Spider-Man 2018 (CV 112161/GCD
# 126774), Amazing Spider-Man 1963 (CV 2127/GCD 1570).

I 47021 cv=184104 gcd=1106835 isbn=978-0-7851-3474-9 0.9 | own record: CV 29926 v02 (184104) and GCD 73293 #2 (1106835, 332pp, ISBN 978-0-7851-3474-9, num); our 314pp file is within 18pp
C 47021 cv=2190 gcd=1636 #173-184 0.9 | this line reprints Daredevil (1964 Marvel, CV 2190/GCD 1636, ~381 issues, carried over from X-050); this volume collects #173-184
I 47022 cv=184105 gcd=1106836 isbn=978-0-7851-3475-6 0.9 | own record: CV 29926 v03 (184105) and GCD 73293 #3 (1106836, 324pp, ISBN 978-0-7851-3475-6, num); our 317pp file is within 7pp
C 47022 cv=2190 gcd=1636 #185-191 0.9 | collects #185-191 of the same Daredevil (1964) run

I 78511 cv=996058 gcd=2546676 isbn=978-1-302-93028-8 0.95 | lookup.py confirmed this is a real distinct 2-volume line: CV 151523 v01 (996058) and GCD 201432 #1 (2546676, 172pp, ISBN 978-1-302-93028-8); our 160pp file is within 12pp
I 78512 cv=1030783 gcd=2580634 isbn=978-1-302-93029-5 0.95 | CV 151523 v02 (1030783) and GCD 201432 #2 (2580634, 148pp, ISBN 978-1-302-93029-5); per-file gcd pick reused v01's id; our 141pp file is within 7pp

I 78538 cv=898704 gcd=2287541 isbn=978-1-302-93205-3 0.9 | own record: CV 140469 issue 898704 and GCD 179386 #1 "The Circle Chase" (2287541, 476pp, ISBN 978-1-302-93205-3) agree despite round2-folder; our 452pp file is within 24pp

I 78614 cv=653012 gcd=1775171 isbn=978-1-302-91009-9 0.95 | Vol.01: CV 107726 #1 (653012) and GCD 120038 #1 (1775171, 388pp, ISBN 978-1-302-91009-9, num); our 370pp file is within 18pp
I 78615 cv=662742 gcd=1790921 isbn=978-1-302-91031-0 0.7 | Vol.02: CV 107726 #2 (662742) and GCD 120038 #2 (1790921, 428pp, ISBN 978-1-302-91031-0, num); our 1115pp file is far larger than the GCD row, possibly bundling extra volumes — flagged for review
I 78616 cv=675138 gcd=1820507 isbn=978-1-302-91139-3 0.95 | Vol.03: CV 107726 #3 (675138) and GCD 120038 #3 (1820507, 388pp, ISBN 978-1-302-91139-3, num); our 383pp file is within 5pp
I 78617 cv=704221 gcd=1841576 isbn=978-1-302-91140-9 0.95 | Vol.04: CV 107726 #4 (704221) and GCD 120038 #4 (1841576, 380pp, ISBN 978-1-302-91140-9, num); our 404pp file is within 24pp

