# shelf	signal	detail   (reprobe_cvmissing.py, TOOLS_TODO 32; feed: next_batch.py --s2-file)
S10	g	provider-missing: CV 33975 "The Best of Heavy Metal" 1982 Heavy Metal 2 issues — far (gap 38), found by 'The Best of Heavy Metal' (via CV candidate name "The Best of Heavy Metal"); invisible before TODO 30
S17	g	provider-missing: CV 11019 "Before the Fantastic Four: The Storms" 2000 Marvel 3 issues — far (gap 21), found by 'Before the Fantastic Four: The Storms' (via CV candidate name "Before the Fantastic Four: The Storms"); invisible before TODO 30
S21	g	provider-missing: CV 80982 "Rise of the Conqueror" 2015 Red Element 2 issues — near (gap 0), found by 'Rise of the Conqueror' (via CV candidate name "Rise of the Conqueror"); invisible before TODO 30
S51	g	provider-missing: CV 98765 "Thrill-Power Overload: Forty Years of 2000 AD: Revised, Updated and Expanded!" 2017 Rebellion 1 issues — near (gap 0), found by 'Thrill-Power Overload: Forty Years of 2000 AD: Revised, Updated and Expanded!' (via CV candidate name "Thrill-Power Overload: Forty Years of 2000 AD: Revised, Updated and Expanded!"); invisible before TODO 30
S80	g	provider-missing: CV 105081 "3 O'clock Club: School's Out... of Control" 2017 Lion Forge Comics 1 issues — near (gap 1), found by '3 O'clock Club: School's Out... of Control' (via CV candidate name "3 O'clock Club: School's Out... of Control"); invisible before TODO 30
S96	g	S cv=-+provider-missing: CV 104454 "Anomaly 2: The Rubicon" 2017 Anomaly Productions LLC 1 issues — far (gap 7), found by 'Anomaly 2: The Rubicon' (via CV candidate name "Anomaly 2: The Rubicon"); invisible before TODO 30
S174	g	provider-missing: CV 154888 "Lovecraft: The Call of Cthulhu" 2023 Zenescope Entertainment 1 issues — near (gap 0), found by 'Lovecraft: The Call of Cthulhu' (via CV candidate name "Lovecraft: The Call of Cthulhu"); invisible before TODO 30
S174	g	provider-missing: CV 134443 "The Call of Cthulhu and Dagon: A Graphic Novel" 2021 Printers Row 1 issues — far (gap 2), found by 'The Call of Cthulhu and Dagon: A Graphic Novel' (via CV candidate name "The Call of Cthulhu and Dagon: A Graphic Novel"); invisible before TODO 30
S198	g	provider-missing: CV 109387 "Graphic Storytelling and Visual Narrative" 2008 W. W. Norton & Company 1 issues — far (gap 16), found by 'Graphic Storytelling and Visual Narrative' (via CV candidate name "Graphic Storytelling and Visual Narrative"); invisible before TODO 30
S207	g	provider-missing: CV 125697 "Zombie Tramp: A Dead Girl in Europe" 2020 Action Lab 1 issues — near (gap 0), found by 'Zombie Tramp: A Dead Girl in Europe' (via CV candidate name "Zombie Tramp: A Dead Girl in Europe"); invisible before TODO 30
