ItemId,PreviousParsedSeriesKey,NewParsedSeriesKey,SeriesIdAtSplit
50109,X-Men v7 (2024),X-Men (2021),102431
50110,X-Men v7 (2024),X-Men (2021),102431
50111,X-Men v7 (2024),X-Men (2021),102431
50112,X-Men v7 (2024),X-Men (2021),102431
50113,X-Men v7 (2024),X-Men (2021),102431
50114,X-Men v7 (2024),X-Men (2021),102431
50115,X-Men v7 (2024),X-Men (2021),102431
50118,X-Men v7 (2024),X-Men (2021),102431
50119,X-Men v7 (2024),X-Men (2021),102431
50120,X-Men v7 (2024),X-Men (2021),102431
50121,X-Men v7 (2024),X-Men (2021),102431
52036,Venom,Venom v3 (2016),20988
97986,Venom,Venom v3 (2016),20988
97317,Venom,Venom v3 (2016),20988
97318,Venom,Venom v3 (2016),20988
97319,Venom,Venom v3 (2016),20988
97320,Venom,Venom v3 (2016),20988
118332,Venom,Venom v3 (2016),20988
118334,Venom,Venom v3 (2016),20988
97321,Venom,Venom v3 (2016),20988
97322,Venom,Venom v3 (2016),20988
97323,Venom,Venom v3 (2016),20988
97324,Venom,Venom v3 (2016),20988
48898,Venom,Venom v4 (2018),20988
48900,Venom,Venom v4 (2018),20988
118507,Venom,Venom v4 (2018),20988
118508,Venom,Venom v4 (2018),20988
118509,Venom,Venom v4 (2018),20988
118510,Venom,Venom v4 (2018),20988
97405,Venom,Venom Epic Collection (2020),20988
97406,Venom,Venom Epic Collection (2020),20988
97407,Venom,Venom Epic Collection (2020),20988
97408,Venom,Venom Epic Collection (2020),20988
97409,Venom,Venom Modern Era Epic Collection (2023),20988
97410,Venom,Venom Modern Era Epic Collection (2023),20988
97411,Venom,Venom Modern Era Epic Collection (2023),20988
87242,West Coast Avengers,West Coast Avengers v2 (1985),21439
87357,West Coast Avengers,West Coast Avengers v2 (1985),21439
53216,West Coast Avengers,Avengers West Coast,21439
85996,X-Factor (2024),X-Factor by Peter David Omnibus,66336
92973,X-Factor (2024),X-Factor by Peter David Omnibus,66336
87990,X-Men (2021),X-Men v5 (2019),66353
