# new shelves from the split lane — feed to next_batch.py --revisit-file
S102454	3W3M - Sourcebook 02 - Maps (2024)	run={"cv": 165815}	P-001.jsonl
S102455	Abbott: 1973 (2021)	run={"cv": 133334, "gcd": 168793}	P-001.jsonl
S102456	Aquaman Secret Files & Origins 2003 (2003)	run={"cv": 146628, "gcd": 11975}	P-001.jsonl
S102457	Avatar: The Last Airbender - Toph Beifong's Metalbending Academy (2021)	run={"cv": 133446, "gcd": 168915}	P-001.jsonl
S102458	Avengers/X-Men: Bloodties (2012)	run={"cv": 25148, "gcd": 73334}	P-001.jsonl
S102459	Bad Dreams in the Night (2024)	run={"gcd": 212841}	P-001.jsonl
S102461	Batman: City of Bane: The Complete Collection (2020)	run={"gcd": 167677}	P-001.jsonl
S102460	Batman: Batgirl (1998)	run={"cv": 25378, "gcd": 10166}	P-001.jsonl
S102462	Batman: The Vengeance of Bane II (1995)	run={"cv": 28220, "gcd": 10181}	P-001.jsonl
S102463	Bill & Ted's Most Triumphant Return (2015)	run={"cv": 80611, "gcd": 87376}	P-001.jsonl
S102464	Breaklands Season Three (2023)	run={"cv": 149518}	P-001.jsonl
S102465	Carson of Venus: Fear on Four Worlds (2018)	run={"cv": 112571, "gcd": 127792}	P-001.jsonl
S102466	Cat-Man Retro Comics #0 (1997)	run={"gcd": 16456}	P-001.jsonl
S102467	Chilling Adventures Presents: Madam Satan - Hell on Earth (2023)	run={"cv": 154117, "gcd": 204295}	P-001.jsonl
S102468	Chilling Adventures in Sorcery Collection (2018)	run={"cv": 107497, "gcd": 119901}	P-001.jsonl
S102469	Cinderella: Fables Are Forever (2011)	run={"cv": 38880, "gcd": 55584}	P-001.jsonl
S102470	Conan the Barbarian FCBD 2024 (2024)	run={"cv": 158057, "gcd": 211754}	P-001.jsonl
S102471	DC Holiday Special 2017 (2018)	run={"cv": 106672, "gcd": 119021}	P-001.jsonl
S102472	DCU Holiday Special 2010 (2010)	run={"cv": 37345, "gcd": 53791}	P-001.jsonl
S102473	DCeased: Unkillables (2020)	run={"cv": 125115, "gcd": 156319}	P-001.jsonl
S102474	Dark Souls: Legends of the Flame (2016)	run={"cv": 94112, "gcd": 106776}	P-001.jsonl
S102475	Dead Body Road: Bad Blood (2020)	run={"cv": 128167, "gcd": 161180}	P-001.jsonl
S102476	Dungeons & Dragons: Ravenloft - Orphan of Agony Isle (2022)	run={"cv": 144024, "gcd": 186623}	P-001.jsonl
S102477	Edgar Allan Poe's Snifter of Terror Season Two (2019)	run={"cv": 121846, "gcd": 150982}	P-001.jsonl
S102478	Elephantmen 2261: The Pentalion Job (2019)	run={"cv": 118678}	P-001.jsonl
S102479	Elric - Titan Album Line (2014)	run={"cv": 76999, "gcd": 82958}	P-001.jsonl
S102483	Whatever After (2024)	run=-	P-001.jsonl
S102480	Faithless III (2022)	run={"cv": 141603, "gcd": 181155}	P-001.jsonl
S102481	Generations - Catalyst Prime (2017)	run={"cv": 104942, "gcd": 141633}	P-001.jsonl
S102482	Get Jiro!: Blood and Sushi (2015)	run={"cv": 85431, "gcd": 93280}	P-001.jsonl
