# shelves from the split lane (new + kept halves) — feed to next_batch.py --revisit-file
# S<sid>	<key>	run=<json|->	<P- file>	new|kept|kept-whole[	pair=<origin sid>][	moved_cv=<id>,…][	pending_join=<sid>,…]
# kept-whole = a `split: false` shelf (nothing moved): its F split-needed stands until an identity batch re-reads it as one run
# pair = the shelf the split took this row's items from (a kept row is its own pair): --revisit-file never cuts a batch inside a pair group
S9539	Invincible Iron Man	run={"cv": 21487, "gcd": 30723}	P-065.jsonl	new	pair=18845
S64851	Guardians of the Galaxy v2 (2008)	run={"cv": 21550, "gcd": 30802}	P-065.jsonl	new	pair=8138
S64850	Guardians of the Galaxy (1990)	run={"cv": 4398, "gcd": 4026}	P-065.jsonl	new	pair=8138
S9385	Incredible Hulk Epic Collection	run={"gcd": 87446}	P-065.jsonl	new	pair=9390
S104194	Inhuman (2021)	run={"cv": 133307}	P-065.jsonl	new	pair=9460
S104196	Iron Fist: Phantom Limb (2018)	run={"cv": 114112}	P-065.jsonl	new	pair=97886
S18845	moved out -> S9539 "Invincible Iron Man"	run=-	P-065.jsonl	kept	pair=18845	moved_cv=21487
S8138	moved out -> S64851 "Guardians of the Galaxy v2 (2008)"; S64850 "Guardians of the Galaxy (1990)"	run=-	P-065.jsonl	kept	pair=8138	moved_cv=21550,4398
S9460	moved out -> S104194 "Inhuman (2021)"	run=-	P-065.jsonl	kept	pair=9460	moved_cv=133307
S97886	moved out -> S104196 "Iron Fist: Phantom Limb (2018)"	run=-	P-065.jsonl	kept	pair=97886	moved_cv=114112
