# shelves from the split lane (new + kept halves) — feed to next_batch.py --revisit-file
# S<sid>	<key>	run=<json|->	<P- file>	new|kept
S102508	Glitterbomb: The Fame Game (2017)	run={"cv": 104476, "gcd": 116919}	P-002.jsonl	new
S102509	Goblin: The Wolf and the Well (2024)	run={"gcd": 213767}	P-002.jsonl	new
S102510	Green Arrow: Year One (2007)	run={"cv": 18880, "gcd": 25563}	P-002.jsonl	new
S102511	Grrl Scouts: Stone Ghost (2021)	run={"cv": 140224, "gcd": 178991}	P-002.jsonl	new
S102512	Hacktivist v2 (2015)	run={"cv": 83577, "gcd": 91112}	P-002.jsonl	new
S102520	Joseph Conrad's Heart of Darkness (2019)	run={"cv": 122751, "gcd": 152053}	P-002.jsonl	new
S102513	Heavy Vinyl: Y2K-O! (2020)	run={"cv": 126000, "gcd": 185529}	P-002.jsonl	new
S102514	Hellboy Universe Essentials: Lobster Johnson (2022)	run={"cv": 144036, "gcd": 182522}	P-002.jsonl	new
S102516	Hound (2024)	run={"cv": 157144, "gcd": 211356}	P-002.jsonl	new
S102517	Impact Winter: Rook (2023)	run={"cv": 152412, "gcd": 202383}	P-002.jsonl	new
S102519	Invincible Compendium (2011)	run={"cv": 54479, "gcd": 75143}	P-002.jsonl	new
S102521	Klaus: The New Adventures of Santa Claus (2018)	run={"cv": 113889, "gcd": 131816}	P-002.jsonl	new
S102522	Legion of Monsters (2011)	run={"cv": 43345, "gcd": 61539}	P-002.jsonl	new
S102523	Lockjaw and the Pet Avengers Unleashed (2010)	run={"cv": 31901, "gcd": 45556}	P-002.jsonl	new
S102525	Lucas Stand: Inner Demons (2018)	run={"cv": 108821, "gcd": 122482}	P-002.jsonl	new
S102526	Madballs vs Garbage Pail Kids: Time Again, Slime Again (2023)	run={"cv": 148797, "gcd": 196506}	P-002.jsonl	new
S102541	Rom and the X-Men: Marvel Tales (2024)	run={"cv": 155563, "gcd": 207137}	P-002.jsonl	new
S102550	The Art of Masters of the Universe: Origins and Masterverse (2023)	run=-	P-002.jsonl	new
S102527	Maybe... Maybe Not (2016)	run={"cv": 89811, "gcd": 35009}	P-002.jsonl	new
S102528	Mean Girls Club: Pink Dawn (2018)	run={"cv": 110692, "gcd": 124288}	P-002.jsonl	new
S102529	Melody (2023)	run={"cv": 155085}	P-002.jsonl	new
S102530	Metalshark Bro: Assault on Hamzig Island (2020)	run={"gcd": 178654}	P-002.jsonl	new
S102549	Tales Through the Marvel Universe (2019)	run={"gcd": 176729}	P-002.jsonl	new
S102531	Millarworld Annual 2017 (2017)	run={"cv": 104490, "gcd": 213281}	P-002.jsonl	new
S102532	Multiple Warheads: Ghost Throne (2018)	run={"cv": 108825, "gcd": 122363}	P-002.jsonl	new
S102533	My Little Pony Equestria Girls: Canterlot High: March Radness (2020)	run={"cv": 125941, "gcd": 158396}	P-002.jsonl	new
S102534	My Little Pony Holiday Special (2019)	run={"cv": 123082, "gcd": 153099}	P-002.jsonl	new
S102535	New Talent Showcase 2017 (2018)	run={"cv": 106528, "gcd": 119011}	P-002.jsonl	new
S102536	No One Left to Fight II (2021)	run={"cv": 139608, "gcd": 176880}	P-002.jsonl	new
S102537	Over My Dead Body: A Witchy Graphic Novel (2022)	run={"gcd": 190773}	P-002.jsonl	new
S102538	Punk Mambo (2014)	run={"cv": 78201, "gcd": 84654}	P-002.jsonl	new
S102539	Renato Jones, Season Two: Freelancer (2017)	run={"cv": 101409, "gcd": 114178}	P-002.jsonl	new
S102542	Saturday AM Annual 2024 (2024)	run=-	P-002.jsonl	new
S102487	All-New Savage She-Hulk (2009)	run={"cv": 26151, "gcd": 35701}	P-002.jsonl	new
S102557	The Shaolin Cowboy: Who'll Stop the Reign? (2017)	run={"cv": 100841, "gcd": 113568}	P-002.jsonl	new
S102507	Future State: Shazam! (2021)	run={"cv": 133283, "gcd": 168740}	P-002.jsonl	new
S102544	Songs for the Dead: Afterlife (2023)	run={"cv": 149169}	P-002.jsonl	new
S102545	Stairway Anthology (2020)	run={"cv": 130976, "gcd": 168279}	P-002.jsonl	new
S102546	Star Wars: The High Republic Adventures: Galactic Bake-Off Spectacular (2022)	run={"cv": 141448, "gcd": 180483}	P-002.jsonl	new
S102547	Stranger Things and Dungeons & Dragons (2020)	run={"cv": 131703, "gcd": 165933}	P-002.jsonl	new
S102548	Supermassive (2024)	run={"cv": 159032}	P-002.jsonl	new
