"Group","Name","Description","Kinds","Filter (sketch)","Titles (approx)","Strategy","Signature","Notes"
"The Marquee","Everything","The whole library on smart shuffle","Movies+TV","(no filter; NC-17 excluded)","~6600","WeightedShuffle","","Flagship; nothing is orphaned"
"The Marquee","The Canon","The all-time greats","Movies+TV","imdbRatingScraped>=8.0 AND votes high","~","WeightedShuffle","",""
"The Marquee","Certified Fresh","Critics' darlings","Movies+TV","RtTomatometer>=90","~","WeightedShuffle","",""
"The Marquee","Crowd-Pleasers","Films people love","Movies+TV","RtPopcornmeter>=80 OR rewatchability>=75","~","WeightedShuffle","",""
"The Marquee","Hidden Gems","Great and under-seen","Movies","imdbRatingScraped>=7.5 AND popularity low AND novelty>=55","~","WeightedShuffle","",""
"The Marquee","Community Favorites","Most-watched by our viewers","Movies+TV","Seen by >=3 distinct users","~","WeightedShuffle","","Real watch history"
"The Marquee","New Releases","The last two years of movies","Movies","releaseDate >= today minus 2 years (rolling)","62","WeightedShuffle","★","Rolling window re-evaluated at schedule time — never needs a yearly edit"
"The Auteurs","The Hitchcock Hour","The Master of Suspense","Movies","director=Alfred Hitchcock","54","WeightedShuffle","★",""
"The Auteurs","Herzog: Ecstatic Truth","Fiction and fever-dream docs","Movies","director=Werner Herzog","49","WeightedShuffle","★",""
"The Auteurs","Kurosawa","The Emperor of cinema","Movies","director=Akira Kurosawa","27","WeightedShuffle","★",""
"The Auteurs","Spielberg","The blockbuster maestro","Movies","director=Steven Spielberg","26","WeightedShuffle","",""
"The Auteurs","Scorsese","Sinners and the city","Movies","director=Martin Scorsese","24","WeightedShuffle","★",""
"The Auteurs","Bergman","Faith, death, and silence","Movies","director=Ingmar Bergman","23","WeightedShuffle","",""
"The Auteurs","Cronenberg: Body Horror","The new flesh","Movies","director=David Cronenberg","21","WeightedShuffle","★",""
"The Auteurs","The Coen Brothers","Crime and cosmic jokes","Movies","director=Joel/Ethan Coen","19","WeightedShuffle","★",""
"The Auteurs","Wes Anderson","Symmetrical melancholy","Movies","director=Wes Anderson","15","WeightedShuffle","",""
"The Auteurs","David Lynch","Dreams and nightmares","Movies","director=David Lynch","15","WeightedShuffle","★",""
"The Auteurs","Tim Burton","Gothic whimsy","Movies","director=Tim Burton","15","WeightedShuffle","",""
"The Auteurs","Kubrick","Cold, perfect, unsettling","Movies","director=Stanley Kubrick","13","WeightedShuffle","★",""
"The Auteurs","John Carpenter","The Master of Horror","Movies","director=John Carpenter","12","WeightedShuffle","★",""
"The Auteurs","Tarantino","Talk, then violence","Movies","director=Quentin Tarantino","11","WeightedShuffle","★",""
"Director & Muse","Scorsese & De Niro","Director and muse","Movies","director=Scorsese AND actor=De Niro","10","WeightedShuffle","★",""
"Director & Muse","Herzog & Kinski","Genius and madness","Movies","director=Herzog AND actor=Klaus Kinski","7","WeightedShuffle","★","Aguirre, Fitzcarraldo, Nosferatu"
"Director & Muse","Kurosawa & Mifune","The greatest collaboration","Movies","director=Kurosawa AND actor=Toshiro Mifune","~16","WeightedShuffle","★",""
"Star Power","The Nicolas Cage Channel","Every Cage, all the time","Movies","actor=Nicolas Cage","46","WeightedShuffle","★","The crown jewel of specific channels"
"Star Power","Samuel L. Jackson","SLJ headlines","Movies","actor=Samuel L. Jackson","39","WeightedShuffle","",""
"Star Power","Arnold","Schwarzenegger","Movies","actor=Arnold Schwarzenegger","35","WeightedShuffle","★",""
"Star Power","De Niro","Robert De Niro","Movies","actor=Robert De Niro","34","WeightedShuffle","",""
"Star Power","The Tom Hanks Channel","America's dad","Movies","actor=Tom Hanks","33","WeightedShuffle","",""
"Star Power","Bill Murray","Deadpan legend","Movies","actor=Bill Murray","33","WeightedShuffle","",""
"Japanese Cinema & Samurai","Japanese Cinema","From Ozu to Miike","Movies","language=ja (non-anime)","376","WeightedShuffle","",""
"Japanese Cinema & Samurai","Zatoichi: Blind Swordsman","The legendary samurai series","Movies","actor=Shintaro Katsu","~26","WeightedShuffle","★","Diacritic name in DB"
"Japanese Cinema & Samurai","Toho Kaiju","Godzilla and the giant monsters","Movies","director=Ishiro Honda OR franchise=godzilla","~50","WeightedShuffle","★",""
"Horror","Horror","Frights all night","Movies+TV","genre=Horror","945","WeightedShuffle","",""
"Horror","Stephen King","Adaptations of the King","Movies+TV","franchise=stephen king","52","WeightedShuffle","★",""
"Horror","Hammer Horror & Icons","Lee, Cushing & Vincent Price","Movies","actor=Christopher Lee/Peter Cushing/Vincent Price OR director=Terence Fisher","~75","WeightedShuffle","★",""
"Horror","Classic Monster Movies","Black-and-white frights","Movies","visualstyle=black and white AND genre=Horror","101","WeightedShuffle","★","Universal-monster era"
"Horror","Slasher Night","Stalk, slash, sequel","Movies","subgenre=slasher OR franchise in {friday-13th,halloween,nightmare,hellraiser,saw,chucky}","~150","WeightedShuffle","",""
"Horror","Creature Features","Things with teeth","Movies","subgenre=creature feature,kaiju","146","WeightedShuffle","",""
"Horror","Gorehound","Not for the squeamish","Movies","contentdescriptor=gore","357","WeightedShuffle","",""
"Cult, Weird & Arthouse","The Criterion Closet","Cinema as art","Movies","path~Criterion","383","WeightedShuffle","★",""
"Cult, Weird & Arthouse","The Arthouse","The artistic canon","Movies","subgenre=art house","1006","WeightedShuffle","★","Huge"
"Cult, Weird & Arthouse","The Cult Vault","Beloved oddities","Movies","cultClassic>=60","852","WeightedShuffle","★",""
"Cult, Weird & Arthouse","Schlock Theater","Gloriously bad B-movies","Movies","subgenre=b movie OR tone=campy OR director=Roger Corman/John Waters","~250","WeightedShuffle","★",""
"Cult, Weird & Arthouse","In Glorious Black & White","Monochrome cinema","Movies","visualstyle=black and white","1120","WeightedShuffle","★",""
"Cult, Weird & Arthouse","Surreal Cinema","Dream logic","Movies","surrealism>=70","310","WeightedShuffle","",""
"Cult, Weird & Arthouse","Neon Noir","Synthwave sci-fi & neon nights","Movies","visualstyle=neon-soaked AND genre=Sci-Fi,Action,Thriller","92","WeightedShuffle","★",""
"Cult, Weird & Arthouse","Wordless Wonders","Show, don't tell","Movies","contentdescriptor=no dialogue","270","WeightedShuffle","★",""
"Cult, Weird & Arthouse","Off the Beaten Path","Deep cuts and obscurities","Movies","novelty>=70","958","WeightedShuffle","",""
"Genres","Comedy","Laughs around the clock","Movies+TV","genre=Comedy","2191","WeightedShuffle","",""
"Genres","Drama","Serious cinema","Movies+TV","genre=Drama","3178","WeightedShuffle","",""
"Genres","Action & Adventure","Explosions and quests","Movies+TV","genre=Action,Adventure","1267","WeightedShuffle","",""
"Genres","Thrillers","Suspense and tension","Movies+TV","genre=Thriller","1488","WeightedShuffle","",""
"Genres","Sci-Fi & Fantasy","Other worlds","Movies+TV","genre=Sci-Fi,Fantasy","1098","WeightedShuffle","",""
"Genres","Crime & Mob","Gangsters and capers","Movies+TV","genre=Crime","1003","WeightedShuffle","",""
"Genres","Romance","Love stories","Movies+TV","genre=Romance","1075","WeightedShuffle","",""
"Genres","Documentaries","Real stories","Movies+TV","genre=Documentary","392","WeightedShuffle","",""
"Genres","Musicals & Music","Song, dance, and bands","Movies+TV","genre=Musical,Music","576","WeightedShuffle","",""
"Subgenre Spotlights","Film Noir","Shadows and moral fog","Movies","subgenre=noir,neo-noir OR genre=Film-Noir","~180","WeightedShuffle","",""
"Subgenre Spotlights","Spaghetti Westerns","Leone and the dusty operatic","Movies","subgenre=spaghetti western OR director=Sergio Leone","~115","WeightedShuffle","",""
"Subgenre Spotlights","Psychological Thrillers","Mind games","Movies","subgenre=psychological thriller","300","WeightedShuffle","",""
"Subgenre Spotlights","Heist & Capers","Plans and double-crosses","Movies","subgenre=heist","76","WeightedShuffle","",""
"Subgenre Spotlights","Superhero","Capes and cowls","Movies+TV","subgenre=superhero","188","WeightedShuffle","",""
"Subgenre Spotlights","Enter the Dragon","Martial arts & kung fu","Movies","keyword=martial arts,martial-arts","116","WeightedShuffle","★",""
"Signature Picks","Time Travel","Past, future, repeat","Movies+TV","keyword=time travel,time-travel","74","WeightedShuffle","★",""
"Signature Picks","The Slow Burn","Patience rewarded","Movies","contentdescriptor=slow-burn","374","WeightedShuffle","",""
"Signature Picks","Bring Tissues","Tearjerkers","Movies","contentdescriptor=tearjerker","301","WeightedShuffle","",""
"Signature Picks","Spoofs & Mockumentaries","Brooks, Proft & the parody crew","Movies","subgenre=spoof,mockumentary OR director=Mel Brooks","~100","WeightedShuffle","",""
"Signature Picks","Silent Comedy","Keaton, Chaplin & the pioneers","Movies","actor=Buster Keaton/Charlie Chaplin OR (year<=1929 AND genre=Comedy)","~40","WeightedShuffle","★",""
"Decades","Silent & Pre-Code","Before 1930","Movies","year<=1929","154","SeededShuffle","",""
"Decades","Golden Age Hollywood","1930s-1940s","Movies","year 1930-1949","459","WeightedShuffle","",""
"Decades","New Hollywood","1970s","Movies","year 1970-1979","619","WeightedShuffle","",""
"Decades","Totally '80s","1980-1989","Movies+TV","year 1980-1989","818","WeightedShuffle","",""
"Decades","The '90s","1990-1999","Movies+TV","year 1990-1999","959","WeightedShuffle","",""
"Decades","The 2000s","2000-2009","Movies+TV","year 2000-2009","1131","WeightedShuffle","",""
"Decades","That '80s Horror","Slashers and synth screams","Movies","year 1980-1989 AND genre=Horror","154","WeightedShuffle","★",""
"Decades","'80s Sci-Fi","Neon futures","Movies","year 1980-1989 AND genre=Sci-Fi","159","WeightedShuffle","",""
"Animation Hall of Fame","Looney Tunes","That's all, folks","TV+Movies","path~Looney Tunes","1148","EpisodeRoundRobin","★","1,148 streamable files"
"Animation Hall of Fame","Disney Animated Classics","The Disney film canon","Movies","path~{Disney Films,Walt Disney}","~630","WeightedShuffle","★",""
"Animation Hall of Fame","Hanna-Barbera Classics","Yabba dabba doo","TV","path~{Flintstones,Jetsons,Scooby Doo,Wacky Races,Atom Ant,Rocky and Bullwinkle}","~600","EpisodeRoundRobin","★",""
"Animation Hall of Fame","The Disney Afternoon","Classic Disney TV animation","TV","path~{DuckTales,TaleSpin,Darkwing Duck,Chip 'n' Dale,Gargoyles}","~320","EpisodeRoundRobin","",""
"Animation Hall of Fame","Animated Superheroes","Heroes in animation","TV+Movies","path~{Marvel Animated,Batman The Animated,X-Men,Spider-Man,Avatar - The Last Airbender,Korra}","~900","EpisodeRoundRobin","",""
"Animation Hall of Fame","Stop-Motion & Handcrafted","Made by hand","Movies+TV","visualstyle=stop-motion,claymation,rotoscope,hand-drawn","~430","WeightedShuffle","",""
